train_benchmark,mmlu,gsm8k,math,humaneval,arc_challenge,triviaqa
mmlu,0.07011135639278876,0.2776411117226534,0.05488985163039041,0.16475663527978418,0.03236159671715973,0.3861438143769642
gsm8k,0.1720782388629668,0.021414430195364265,0.25621772065188797,0.48233696475419613,0.08463554814310448,0.4650724937520973
math,0.2548700643980081,0.45777130194353627,0.05497040171839516,0.448557120595459,0.0926566928331003,0.3416709203009719
humaneval,0.2179848350778023,0.7861452191063566,0.392312492982621,0.06175236286725207,0.6847978617327981,0.14616534964762037
arc_challenge,0.21964958527389888,0.3513490009680702,0.26139014374747493,0.18186324020840977,0.039847011915430414,0.5134586238836473
triviaqa,0.2679717951963565,0.46031425977685864,0.18168510440097702,0.042697063142735414,0.5256509623575999,0.01779331200534995
