train_benchmark,mmlu,gsm8k,math,humaneval,arc_challenge,triviaqa
mmlu,0.1570206520660705,0.20663956198494554,0.23261262220215084,0.22530384028618886,0.06656478763568234,0.3643390161778569
gsm8k,0.2570916304660652,0.13281924326232278,0.3112243544186959,0.4566706359499329,0.09140087156554552,0.4458943284593486
math,0.29500762487456383,0.3977435398361184,0.08259141415411003,0.4319330195082813,0.09405193519179597,0.3419430796836048
humaneval,0.27387059358435756,0.74984726293698,0.4068228898810095,0.044688447572247075,0.5478894675346512,0.25121698333117265
arc_challenge,0.2655313688369437,0.2528125557864934,0.26535496627827165,0.241340155918979,0.04765600661623308,0.498911346580779
triviaqa,0.2991612452266558,0.34435176739368883,0.2789728416315225,0.22604093169652062,0.36036141510957304,0.22357607307144473
