train_benchmark,mmlu,gsm8k,math,humaneval,arc_challenge,triviaqa
mmlu,0.847499439336174,0.7303543913713405,0.7692467316870721,0.7047908232118759,0.8134463961235614,0.6528888888888887
gsm8k,0.6028257456828885,0.802773497688752,0.8323303589956422,0.6497975708502024,0.41974560872198663,0.48577777777777775
math,0.5474321596770576,0.5947611710323576,0.9485370408798506,0.4908906882591093,0.4766807995154452,0.7057777777777778
humaneval,0.5837631755999103,0.5878274268104776,0.478315003112679,0.9757085020242915,0.7577225923682617,0.6022222222222221
arc_challenge,0.6683112805561785,0.6298151001540833,0.8024486407968459,0.6379892037786775,0.9030890369473047,0.5671111111111111
triviaqa,0.6057411975779323,0.4102465331278891,0.32496368541191123,0.3873144399460189,0.7970926711084191,0.8673333333333334
